Group,ANS,INA,IOB,MT,NAW,NBC,NO,PBD,PZT,SPS,ZS
AfrAm,1,1,3,1,3,0,0,0,0,2,2
AfrAm,2,2,3,1,1,1,0,0,1,0,2
AfrAm,1,1,3,2,2,0,0,0,2,2,2
AfrAm,1,1,3,1,3,0,1,1,1,0,1
AfrAm,1,3,3,2,2,0,0,1,1,0,2
AfrAm,1,1,3,2,3,0,0,0,3,0,2
AfrAm,1,1,3,2,3,1,0,0,1,0,0
AfrAm,1,1,3,3,2,0,0,0,2,0,1
AfrAm,1,1,3,3,3,0,0,0,0,0,2
AfrAm,1,2,3,2,3,2,1,0,2,2,1
AfrAm,1,1,3,1,2,0,0,1,1,0,2
AfrAm,2,3,2,3,2,4,0,0,3,2,0
AfrAm,1,3,2,1,2,4,0,0,2,0,1
AfrAm,2,2,3,2,3,2,1,1,1,0,1
AfrAm,2,2,2,1,3,1,0,0,3,1,1
AfrAm,2,3,2,1,3,1,0,1,1,0,1
AfrAm,2,3,1,1,2,3,1,0,1,0,2
AfrAm,1,2,2,2,3,1,1,1,1,0,1
AfrAm,2,4,1,1,2,1,1,1,1,0,1
AfrAm,2,2,3,1,3,1,0,0,1,0,1
AfrAm,2,2,2,1,2,1,0,0,1,0,2
AfrAm,1,3,2,2,3,1,0,0,1,0,1
AfrAm,2,2,3,0,3,4,0,0,2,0,1
AfrAm,2,4,2,0,2,4,0,1,3,0,1
AfrAm,2,5,2,1,2,3,0,0,1,0,1
AfrAm,2,3,2,0,2,1,1,1,1,0,1
AfrAm,3,3,3,1,2,3,1,0,2,1,1
AfrAm,3,2,3,2,3,3,0,0,2,2,2
AfrAm,2,3,3,2,3,3,0,1,2,2,2
AfrAm,1,1,3,2,3,2,1,0,3,1,2
AfrAm,2,4,3,1,2,1,1,0,1,2,1
AfrAm,2,1,3,1,2,4,0,1,1,2,1
AfrAm,1,3,2,1,2,3,0,1,1,2,1
AfrAm,1,2,3,0,3,0,0,0,2,0,0
AfrAm,2,3,3,1,3,0,0,0,2,2,0
AfrAm,1,2,3,0,2,3,1,0,1,2,1
AfrAm,2,2,3,1,3,3,1,1,2,1,1
AfrAm,2,4,2,1,2,1,1,0,1,2,1
AfrAm,1,3,3,2,3,1,0,1,0,0,1
AfrAm,2,3,3,1,2,3,0,0,1,1,0
AfrAm,2,3,3,1,3,1,1,0,2,1,1
AfrAm,1,3,3,1,3,1,0,1,1,0,1
AfrAm,3,4,3,2,2,3,0,1,1,1,0
AfrAm,2,3,2,3,2,2,0,0,1,1,0
AfrAm,2,1,2,0,2,4,0,0,2,0,1
AfrAm,2,3,2,0,2,1,0,0,3,2,0
AfrAm,2,3,3,0,2,3,0,1,2,0,0
AfrAm,2,2,1,1,2,3,0,0,2,2,1
AfrAm,2,4,3,1,3,1,0,1,2,0,1
AfrAm,1,3,2,0,3,0,0,0,3,2,1
AfrAm,1,3,2,1,3,1,0,1,0,0,1
AfrAm,3,3,2,1,2,3,0,0,0,0,0
AfrAm,2,4,2,3,2,3,0,1,1,0,1
AfrAm,2,3,2,2,2,3,1,1,2,2,0
AfrAm,1,3,3,1,3,3,1,0,3,0,1
AfrAm,3,3,2,2,3,0,1,1,1,0,2
AfrAm,1,2,2,3,3,0,0,0,1,0,2
AfrAm,1,2,2,1,3,0,0,0,1,0,2
AfrAm,2,2,2,2,3,4,1,0,2,2,2
AfrAm,3,4,3,2,2,1,1,0,2,0,2
AfrAm,3,3,2,3,2,2,1,1,2,2,2
AfrAm,2,3,1,2,2,3,0,1,2,2,1
AfrAm,2,4,2,2,3,4,1,0,3,2,2
AfrAm,2,3,2,2,2,3,1,1,3,2,2
AfrAm,2,3,3,0,3,3,0,1,2,0,0
AfrAm,2,3,2,1,3,4,0,1,1,0,1
AfrAm,3,2,2,2,2,4,0,1,2,2,2
AfrAm,3,4,1,1,2,3,0,1,1,2,2
AfrAm,2,2,2,1,2,3,1,1,1,2,2
AfrAm,2,2,3,2,3,1,0,0,1,2,0
AfrAm,3,4,3,3,3,2,1,0,2,0,1
AfrAm,3,2,3,2,2,3,0,0,2,2,1
AfrAm,2,5,1,2,3,4,0,0,2,2,2
AfrAm,2,4,2,3,2,3,0,0,3,2,0
AfrAm,3,5,2,2,2,4,0,1,2,1,0
AfrAm,1,1,3,1,3,0,1,1,2,2,0
AfrAm,2,4,2,1,3,3,1,0,2,0,2
AfrAm,2,3,3,1,3,2,1,0,2,0,1
AfrAm,2,3,1,1,2,1,1,1,1,2,2
AfrAm,2,4,2,1,3,3,1,0,1,0,0
AfrAm,1,3,2,1,3,1,0,0,2,0,0
AfrAm,2,3,3,1,3,1,0,1,1,0,1
